Id	RunSpeed	WalkSpeed	TurnRoundSpeed	Life	AttackNormal	DefenseNormal	Crit	CritP	AntiDefenseNormal	AttackMagic1	AttackMagic2	AttackMagic3	AttackMagic4	AntiDamageMagicImmunity	AntiAttackNormal	AntiAttackMagic1	AntiAttackMagic2	AntiAttackMagic3	AntiAttackMagic4	DamageChangeP	DamageNormalChangeP	DamageMagic1ChangeP	DamageMagic2ChangeP	DamageMagic3ChangeP	DamageMagic4ChangeP	AntiDamageChangeP	AntiDamageNormalChangeP	AntiDamageMagic1ChangeP	AntiDamageMagic2ChangeP	AntiDamageMagic3ChangeP	AntiDamageMagic4ChangeP	Energy	BallInterval	DamageNormalImmunity	DamageMagicImmunity	AntiDamageNormalImmunity	Damage1P	Damage2P	Damage3P	CritDamageP	AntiCritP	AntiCritDamageP	Lifesteal	LifestealP	CureChangeP	AntiCureChangeP	Endure	ThreatRateP	DodgeEnergy	DodgeEnergyAutoRecovery	CustomEnergy
9	5	5	90	1	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	100	0	0	0	0	10000	10000	10000	20000	0	0	0	0	0	0	0	1000	0	0	0
100	5	5	90	1	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	100	0	0	0	0	10000	10000	10000	20000	0	0	0	0	0	0	0	1000	0	0	0
101	5	5	90	1	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	100	0	0	0	0	10000	10000	10000	20000	0	0	0	0	0	0	0	1000	0	0	0
2004	5	5	900	500	20	7.2	6.48	0	0	20	20	20	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	1.5	0	0	0	10000	10000	10000	20000	0	0	0	0	0	0	0	1000	1000	80	0
2005	2	2	900	100	10	0	0	0	0	10	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	20000	0	0	0	0	0	0	0	0	0	0	0
7001	5	5	800	1	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2000	2000	2000	2000	100	9999	0	0	0	10000	10000	10000	20000	0	0	0	0	0	0	0	1000	0	0	0
7002	5	5	800	1	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2000	2000	2000	2000	100	9999	0	0	0	10000	10000	10000	20000	0	0	0	0	0	0	0	1000	0	0	0
7003	5	5	800	1	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2000	2000	2000	2000	100	9999	0	0	0	10000	10000	10000	20000	0	0	0	0	0	0	0	1000	0	0	0
7004	5	5	800	1	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2000	2000	2000	2000	100	9999	0	0	0	10000	10000	10000	20000	0	0	0	0	0	0	0	1000	0	0	0
7005	5	5	800	1	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2000	2000	2000	2000	100	9999	0	0	0	10000	10000	10000	20000	0	0	0	0	0	0	0	1000	0	0	0
7006	5	5	800	1	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2000	2000	2000	2000	100	9999	0	0	0	10000	10000	10000	20000	0	0	0	0	0	0	0	1000	0	0	0
7007	5	5	800	1	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2000	2000	2000	2000	100	9999	0	0	0	10000	10000	10000	20000	0	0	0	0	0	0	0	1000	0	0	0
7008	5	5	800	1	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2000	2000	2000	2000	100	9999	0	0	0	10000	10000	10000	20000	0	0	0	0	0	0	0	1000	0	0	0
7012	5	5	800	1	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2000	2000	2000	2000	100	9999	0	0	0	10000	10000	10000	20000	0	0	0	0	0	0	0	1000	0	0	0
7013	5	5	800	1	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2000	2000	2000	2000	100	9999	0	0	0	10000	10000	10000	20000	0	0	0	0	0	0	0	1000	0	0	0
8110	6	6	90	1	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2000	2000	2000	2000	100	9999	0	0	0	10000	10000	10000	20000	0	0	0	0	0	0	0	1000	0	0	0
8120	6	6	720	1	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2000	2000	2000	2000	100	9999	0	0	0	10000	10000	10000	20000	0	0	0	0	0	0	0	1000	0	0	0
8130	8	1.7	720	1	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2000	2000	2000	2000	100	9999	0	0	0	10000	10000	10000	20000	0	0	0	0	0	0	0	1000	0	0	0
8131	8	1.7	720	1	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2000	2000	2000	2000	100	9999	0	0	0	10000	10000	10000	20000	0	0	0	0	0	0	0	1000	0	0	0
8140	6	6	720	1	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2000	2000	2000	2000	100	9999	0	0	0	10000	10000	10000	20000	0	0	0	0	0	0	0	1000	1000	80	100
8141	6	6	720	1	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2000	2000	2000	2000	100	9999	0	0	0	10000	10000	10000	20000	0	0	0	0	0	0	0	1000	0	0	0
8142	6	6	720	1	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2000	2000	2000	2000	100	9999	0	0	0	10000	10000	10000	20000	0	0	0	0	0	0	0	1000	0	0	0
8143	7	3	720	1	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2000	2000	2000	2000	100	9999	0	0	0	10000	10000	10000	20000	0	0	0	0	0	0	0	1000	0	0	0
8150	10	4	480	1	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2000	2000	2000	2000	100	9999	0	0	0	10000	10000	10000	20000	0	0	0	0	0	0	0	1000	1000	80	100
8160	6	1.2	720	1	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2000	2000	2000	2000	100	9999	0	0	0	10000	10000	10000	20000	0	0	0	0	0	0	0	1000	1000	80	100
8170	5	5	360	1	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2000	2000	2000	2000	100	9999	0	0	0	10000	10000	10000	20000	0	0	0	0	0	0	0	1000	1000	80	100
8171	15	15	360	1	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2000	2000	2000	2000	100	9999	0	0	0	10000	10000	10000	20000	0	0	0	0	0	0	0	1000	1000	80	100
8180	0	0	360	1	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2000	2000	2000	2000	100	9999	0	0	0	10000	10000	10000	20000	0	0	0	0	0	0	0	1000	0	0	0
8190	5	0.9	720	1	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2000	2000	2000	2000	100	9999	0	0	0	10000	10000	10000	20000	0	0	0	0	0	0	0	1000	0	0	0
8210	3.3	3.3	240	1	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2000	2000	2000	2000	100	9999	0	0	0	10000	10000	10000	20000	0	0	0	0	0	0	0	1000	0	0	0
