Id	Name	GuideBg	Description
1	BP1-1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	5
2	BP1-2	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	9
3	BP1-3	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	13
4	BP1-4	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	自选
5	BP2-1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	3
6	BP2-2	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	8
7	BP2-3	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	12
8	BP2-4	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	自选
9	BP3-1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	2
10	BP3-2	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	7
11	BP3-3	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	14
12	BP3-4	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	自选
13	BP4-1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	5
14	BP4-2	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	10
15	BP4-3	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	15
16	BP4-4	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	自选
17	BP5-1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	4
18	BP5-2	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	7
19	BP5-3	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	12
20	BP5-4	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	自选
