Id	Name	BuffBg	Desc
1	<color=#34aff9><size=34>buff名字1</size></color>	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon1.png	敌方伤害+50%
2	<color=#34aff9><size=34>buff名字2</size></color>	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon1.png	敌方伤害+50%
3	<color=#34aff9><size=34>buff名字3</size></color>	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon1.png	敌方伤害+50%
4	<color=#34aff9><size=34>buff名字4</size></color>	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon1.png	敌方伤害+50%
5	<color=#34aff9><size=34>buff名字5</size></color>	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon1.png	事件-火伤+50%
6	<color=#34aff9><size=34>buff名字6</size></color>	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon1.png	事件-雷伤+50%
7	<color=#34aff9><size=34>buff名字7</size></color>	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon1.png	事件-冰伤+50%
8	<color=#34aff9><size=34>buff名字8</size></color>	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon1.png	事件-暗伤+50%
9	<color=#34aff9><size=34>buff名字9</size></color>	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon1.png	事件-物理+50%
10	<color=#34aff9><size=34>buff名字10</size></color>	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon1.png	事件-暴击伤害+50%
11	<color=#34aff9><size=34>buff名字11</size></color>	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon1.png	事件-100连击伤害+50%
12	<color=#34aff9><size=34>buff名字12</size></color>	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon1.png	事件-近战伤害+50%
13	<color=#34aff9><size=34>buff名字13</size></color>	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon1.png	事件-远程伤害+50%
14	<color=#34aff9><size=34>buff名字14</size></color>	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon1.png	事件-全元素伤害+50%
10001	<color=#34aff9><size=34>远距交火</size></color>	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon1.png	只能上阵远程构造体单位
10002	<color=#34aff9><size=34>短兵相接</size></color>	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon10001.png	只能上阵近战构造体单位
10011	<color=#34aff9><size=34>火力侵扰</size></color>	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon10011.png	禁止上阵进攻类型构造体
