Id	ItemId[1]	ItemCount[1]	ItemId[2]	ItemCount[2]	ItemId[3]	ItemCount[3]
2015001	3001	1				
2016001	3002	1				
2016002	3002	1				
2025001	3001	1				
2026001	3002	1				
2026002	3002	1				
2026003	3002	1				
2026004	3002	1				
2035001	3001	1				
2036001	3002	1				
2036002	3002	1				
2036003	3002	1				
2045001	3001	1				
2046001	3002	1				
2055001	3001	1				
2056001	3002	1				
2056002	3002	1				
2065001	3001	1				
2065050	3001	1				
2066001	3002	1				
2066002	3002	1				
2075001	3001	1				
2076001	3002	1				
2076002	3002	1				
2085001	3001	1				
2086001	3002	1				
3015001	3003	1				
3015002	3003	1				
3015003	3003	1				
3015004	3003	1				
3015005	3003	1				
3015006	3003	1				
3015007	3003	1				
3015008	3003	1				
3016001	3004	1				
3016002	3004	1				
3016003	3004	1				
3016004	3004	1				
3016005	3004	1				
3016006	3004	1				
3016007	3004	1				
3016008	3004	1				
3016009	3004	1				
3016010	3004	1				
3016011	3004	1				
3016012	3004	1				
3025001	3003	1				
3025002	3003	1				
3025003	3003	1				
3025004	3003	1				
3025005	3003	1				
3025006	3003	1				
3025007	3003	1				
3025008	3003	1				
3026001	3004	1				
3026002	3004	1				
3026003	3004	1				
3026004	3004	1				
3026005	3004	1				
3026006	3004	1				
3026007	3004	1				
3026008	3004	1				
3026009	3004	1				
3026010	3004	1				
3026011	3004	1				
3026012	3004	1				
3035001	3003	1				
3035002	3003	1				
3035003	3003	1				
3035004	3003	1				
3035005	3003	1				
3035006	3003	1				
3035007	3003	1				
3035008	3003	1				
3036001	3004	1				
3036002	3004	1				
3036003	3004	1				
3036004	3004	1				
3036005	3004	1				
3036006	3004	1				
3036007	3004	1				
3036008	3004	1				
3036009	3004	1				
3036010	3004	1				
3036011	3004	1				
3036012	3004	1				
3045001	3003	1				
3045002	3003	1				
3045003	3003	1				
3045004	3003	1				
3045005	3003	1				
3045006	3003	1				
3045007	3003	1				
3045008	3003	1				
3046001	3004	1				
3046002	3004	1				
3046003	3004	1				
3046004	3004	1				
3046005	3004	1				
3046006	3004	1				
3046007	3004	1				
3046008	3004	1				
3046009	3004	1				
3046010	3004	1				
3046011	3004	1				
3046012	3004	1				
3055001	3003	1				
3055002	3003	1				
3055003	3003	1				
3055004	3003	1				
3055005	3003	1				
3055006	3003	1				
3055007	3003	1				
3055008	3003	1				
3056001	3004	1				
3056002	3004	1				
3056003	3004	1				
3056004	3004	1				
3056005	3004	1				
3056006	3004	1				
3056007	3004	1				
3056008	3004	1				
3056009	3004	1				
3056010	3004	1				
3056011	3004	1				
3056012	3004	1				
3065001	3003	1				
3065002	3003	1				
3065003	3003	1				
3065004	3003	1				
3065005	3003	1				
3065006	3003	1				
3065007	3003	1				
3065008	3003	1				
3066001	3004	1				
3066002	3004	1				
3066003	3004	1				
3066004	3004	1				
3066005	3004	1				
3066006	3004	1				
3066007	3004	1				
3066008	3004	1				
3066009	3004	1				
3066010	3004	1				
3066011	3004	1				
3066012	3004	1				
3016013	3004	1				
3026013	3004	1				
3036013	3004	1				
3046013	3004	1				
3056013	3004	1				
3066013	3004	1				
3015050	3003	1				
3025050	3003	1				
3035050	3003	1				
3045050	3003	1				
3055050	3003	1				
3065050	3003	1				
3016014	3004	1				
3026014	3004	1				
3036014	3004	1				
3046014	3004	1				
3056014	3004	1				
3066014	3004	1				
