Id	PoolId	Weight	CharacterId	SkillId
1	1	100	1011002	101
2	1	100	1011003	101
3	1	100	1021001	101
4	1	100	1021002	101
5	1	100	1031001	101
6	1	100	1031002	101
7	1	100	1031003	101
8	1	100	1041002	101
9	1	100	1051001	101
10	1	100	1051003	101
11	1	100	1061002	101
12	1	100	1061003	101
13	1	100	1071002	101
14	1	100	1071003	101
15	1	100	1081002	101
16	2	100	1011002	102
17	2	100	1011003	102
18	2	100	1021001	102
19	2	100	1021002	102
20	2	100	1031001	102
21	2	100	1031002	102
22	2	100	1031003	102
23	2	100	1041002	102
24	2	100	1051001	102
25	2	100	1051003	102
26	2	100	1061002	102
27	2	100	1061003	102
28	2	100	1071002	102
29	2	100	1071003	102
30	2	100	1081002	102
31	3	100	1011002	103
32	3	100	1011003	103
33	3	100	1021001	103
34	3	100	1021002	103
35	3	100	1031001	103
36	3	100	1031002	103
37	3	100	1031003	103
38	3	100	1041002	103
39	3	100	1051001	103
40	3	100	1051003	103
41	3	100	1061002	103
42	3	100	1061003	103
43	3	100	1071002	103
44	3	100	1071003	103
45	3	100	1081002	103
46	1	100	1011002	201
47	1	100	1011003	201
48	1	100	1021001	201
49	1	100	1021002	201
50	1	100	1031001	201
51	1	100	1031002	201
52	1	100	1031003	201
53	1	100	1041002	201
54	1	100	1051001	201
55	1	100	1051003	201
56	1	100	1061002	201
57	1	100	1061003	201
58	1	100	1071002	201
59	1	100	1071003	201
60	1	100	1081002	201
61	2	100	1011002	202
62	2	100	1011003	202
63	2	100	1021001	202
64	2	100	1021002	202
65	2	100	1031001	202
66	2	100	1031002	202
67	2	100	1031003	202
68	2	100	1041002	202
69	2	100	1051001	202
70	2	100	1051003	202
71	2	100	1061002	202
72	2	100	1061003	202
73	2	100	1071002	202
74	2	100	1071003	202
75	2	100	1081002	202
76	3	100	1011002	203
77	3	100	1011003	203
78	3	100	1021001	203
79	3	100	1021002	203
80	3	100	1031001	203
81	3	100	1031002	203
82	3	100	1031003	203
83	3	100	1041002	203
84	3	100	1051001	203
85	3	100	1051003	203
86	3	100	1061002	203
87	3	100	1061003	203
88	3	100	1071002	203
89	3	100	1071003	203
90	3	100	1081002	203
91	1	100	1021003	101
92	2	100	1021003	102
93	3	100	1021003	103
