SkipId	Origin	UiName	ParamId	Explain	FunctionalId	CustomParams[1]	CustomParams[2]	CustomParams[3]
8000	3	UiFuben	30090101	活动支线副本	10101			
8002	2	UiActivityBase	1	活动页签		1	1	0
8001	2	UiActivityBase	2	公告页签		1	1	0
40000	2	UiAutoWindow	1					
40001	2	UiAutoWindow	2					
50000	2	UiSignBanner	1					
50001	2	UiSignBanner	2					
50004	2	UiSignBanner	3					
50005	2	UiSignBanner	4					
50006	2	UiPurchase	2	礼包界面		1	0	0
50007	2	UiPurchase	3			1	0	0
50008	2	UiPurchase	1	充值界面		1	0	0
50009	6	UiSign		首充界面		3	0	0
500	1	UiMedalUnlock		进入徽章解锁				
11	2	UiDrawGroup	1	研发系统				
21	4		2	回到主界面				
31	5		3					
41	1		4					
51	1		5					
12	2		6					
13	3		7					
23	1	UiFuben		进入副本	10101			
98	1	UiFuben		前往普通剧情				
100	3	UiFuben	10010101	前往普通剧情				
101	3	UiFuben	10010102	前往普通剧情				
102	3	UiFuben	10010103	前往普通剧情				
103	3	UiFuben	10010104	前往普通剧情				
104	3	UiFuben	10010201	前往普通剧情				
105	3	UiFuben	10010202	前往普通剧情				
106	6	UiCharacter		前往穿戴	101	0		
107	6	UiCharacter		前往强化	301	0		
108	3	UiFuben	10010203	前往普通剧情				
109	3	UiFuben	10010204	前往普通剧情				
110	3	UiFuben	10010301	前往普通剧情				
111	3	UiFuben	10010302	前往普通剧情				
112	6	UiCharacter		前往穿戴	101	0		
113	6	UiCharacter		前往强化	301	0		
114	3	UiFuben	10010303	前往普通剧情				
115	6	UiTask		前往任务		1	0	0
116	6	UiCharacter		前往强化构造体	101	0		
117	3	UiFuben	10020101	前往普通剧情				
118	3	UiFuben	10020102	前往普通剧情				
119	3	UiFuben	10020103	前往普通剧情				
120	3	UiFuben	10020104	前往普通剧情				
121	7	OnOpenUiFubenDaily		前往日常关卡	10401	1000		
122	6	UiCharacter		前往升级构造体	101	0		
123	3	UiFuben	10020201	前往普通剧情				
124	3	UiFuben	10020202	前往普通剧情				
125	3	UiFuben	10020203	前往普通剧情				
126	3	UiFuben	10020204	前往普通剧情				
127	6	UiTask		前往任务		2		
128	6	UiCharacter		前往强化	301	0		
129	3	UiFuben	10020301	前往普通剧情				
130	3	UiFuben	10020302	前往普通剧情				
131	7	OnOpenUiFubenDaily		前往日常关卡	10401	1003		
132	6	UiCharacter		前往强化	301	0		
133	3	UiFuben	10020303	前往普通剧情				
134	6	UiTask		前往任务		1	0	0
135	7	OnOpenUiFubenDaily		前往日常关卡	10401	1002		
136	6	UiCharacter		前往突破	301	0		
137	6	UiCharacter		前往强化构造体	101	0		
138	3	UiFuben	11010101	前往隐藏剧情	10102			
139	3	UiFuben	11010102	前往隐藏剧情	10102			
140	3	UiFuben	11010103	前往隐藏剧情	10102			
141	6	UiCharacter		前往升级构造体	101	0		
142	6	UiCharacter		前往升级构造体	101	0		
143	3	UiFuben	11010104	前往隐藏剧情	10102			
144	3	UiFuben	11010105	前往隐藏剧情	10102			
145	6	UiTask		前往任务		1	0	0
146	6	UiCharacter		前往强化构造体	101	0		
147	3	UiFuben	10030101	前往普通剧情				
148	3	UiFuben	10030102	前往普通剧情				
149	3	UiFuben	10030103	前往普通剧情				
150	3	UiFuben	10030104	前往普通剧情				
151	6	UiCharacter		前往强化	301	0		
152	6	UiCharacter		前往强化	301	0		
153	3	UiFuben	10030201	前往普通剧情				
154	3	UiFuben	10030202	前往普通剧情				
155	3	UiFuben	10030203	前往普通剧情				
156	3	UiFuben	10030204	前往普通剧情				
157	6	UiCharacter		前往突破	301	0		
158	6	UiCharacter		前往突破	301	0		
159	3	UiFuben	10030301	前往普通剧情				
160	3	UiFuben	10030302	前往普通剧情				
161	3	UiFuben	10030303	前往普通剧情				
162	6	UiTask		前往任务		1	0	0
163	6	UiCharacter		前往升级构造体	101	0		
164	6	UiCharacter		前往升级构造体	101	0		
165	6	UiCharacter		前往强化构造体	101	0		
166	3	UiFuben	11020101	前往隐藏剧情	10102			
167	3	UiFuben	11020102	前往隐藏剧情	10102			
168	3	UiFuben	11020103	前往隐藏剧情	10102			
169	3	UiFuben	11020104	前往隐藏剧情	10102			
170	6	UiCharacter		前往升级构造体	101	0		
171	6	UiCharacter		前往强化	301	0		
172	3	UiFuben	11020105	前往普通剧情				
173	6	UiTask		前往任务		1	0	0
174	6	UiCharacter		前往强化构造体	101	0		
175	3	UiFuben	10040101	前往普通剧情				
176	3	UiFuben	10040102	前往普通剧情				
177	3	UiFuben	10040103	前往普通剧情				
178	3	UiFuben	10040104	前往普通剧情				
179	6	UiCharacter		前往突破	301	0		
180	6	UiCharacter		前往突破	301	0		
181	3	UiFuben	10040201	前往普通剧情				
182	3	UiFuben	10040202	前往普通剧情				
183	3	UiFuben	10040203	前往普通剧情				
184	3	UiFuben	10040204	前往普通剧情				
185	6	UiCharacter		前往强化	301	0		
186	6	UiCharacter		前往强化	301	0		
187	3	UiFuben	10040301	前往普通剧情				
188	3	UiFuben	10040302	前往普通剧情				
189	3	UiFuben	10040303	前往普通剧情				
190	6	UiTask		前往任务		1	0	0
191	6	UiCharacter		前往升级构造体	101	0		
192	6	UiCharacter		前往升级构造体	101	0		
193	6	UiCharacter		前往强化构造体	101	0		
194	3	UiFuben	11030101	前往隐藏剧情	10102			
195	3	UiFuben	11030102	前往隐藏剧情	10102			
196	3	UiFuben	11030103	前往隐藏剧情	10102			
197	3	UiFuben	11030104	前往隐藏剧情	10102			
198	6	UiCharacter		前往升级构造体	101	0		
199	6	UiCharacter		前往强化	301	0		
