Id	GroupID	Name	RecommendLevel	Order	Type	ConditionId[1]	ConditionId[2]	ShowPass	Ico	TrialID	TrialStatus	SingStageId	MultStageId	SingleDescription	MultDescription	DetailBackGroundIco
1	1	木桩训练	1	100	3				Assets/Product/Texture/Image/UiFubenTrialBanner/UiFubenmuzhaung1.png	1	2	30030301	30030401	不消耗体力\n怪物不会进行攻击\n怪物死亡后无限复活	不消耗体力\n怪物不会进行攻击\n怪物死亡后无限复活	Assets/Product/Texture/Image/UiFubenTrialBg/UiFubenmuzhuang001.png
2	1	对战训练	1	101	3				Assets/Product/Texture/Image/UiFubenTrialBanner/UiFubenduizhan1.png	2	2	30030302	30030402	不消耗体力\n怪物死亡后无限复活	不消耗体力\n怪物死亡后无限复活	Assets/Product/Texture/Image/UiFubenTrialBg/UiFubenduizhan001.png
3	2	坦克大战	1	102	2				Assets/Product/Texture/Image/UiFubenTrialBanner/UiFubentanke1.png	1	2		30030501		不消耗体力\n联机对战玩法	Assets/Product/Texture/Image/UiFubenTrialBg/UiFubentanke001.png
4	5	3-2终点站	60	1000	1	30499		1	Assets/Product/Texture/Image/UiFubenTrialBanner/UiFubenzhuxian1.png			10030402		不消耗体力\n与超频的怪物战斗\n哈桑直接向你发布了优先级的任务，在和突击鹰小队会合之前，得和灰鸦一起回收地铁站的构造体。		Assets/Product/Texture/Image/UiFubenTrialBg/UiFubenzhuxian001.png
5	5	3-3直觉系	60	1001	1	30500	30499	1	Assets/Product/Texture/Image/UiFubenTrialBanner/UiFubenzhuxian2.png			10030403		不消耗体力\n与超频的怪物战斗\n提法也是“新种”之一，虽然不知道为什么感染体突然获得思考的能力，但她不在以后，感染体占据了地铁站。		Assets/Product/Texture/Image/UiFubenTrialBg/UiFubenzhuxian002.png
6	5	3-4乐于助人	60	1002	1	30501	30499	1	Assets/Product/Texture/Image/UiFubenTrialBanner/UiFubenzhuxian3.png			10030404		不消耗体力\n与超频的怪物战斗\n感染体严重妨碍了回收构造体的进度，按照露西亚的指示，灰鸦小队决定分为回收组跟迎击组。		Assets/Product/Texture/Image/UiFubenTrialBg/UiFubenzhuxian003.png
7	5	3-5擅闯私宅	60	1003	1	30502	30499	1	Assets/Product/Texture/Image/UiFubenTrialBanner/UiFubenzhuxian4.png			10030501		不消耗体力\n与超频的怪物战斗\n传送门作战由突击鹰主导，和他们会合的灰鸦小队得到了到放着传送门的庄园侦察的任务。		Assets/Product/Texture/Image/UiFubenTrialBg/UiFubenzhuxian004.png
8	5	3-6机关密布	60	1004	1	30503	30499	1	Assets/Product/Texture/Image/UiFubenTrialBanner/UiFubenzhuxian5.png			10030502		不消耗体力\n与超频的怪物战斗\n侦察完毕以后，灰鸦小队收到了巡夜的任务。		Assets/Product/Texture/Image/UiFubenTrialBg/UiFubenzhuxian005.png
9	5	3-7最后警告	60	1005	1	30504	30499	1	Assets/Product/Texture/Image/UiFubenTrialBanner/UiFubenzhuxian6.png			10030503		不消耗体力\n与超频的怪物战斗\n传送门作战即将开始，灰鸦小队将和突击鹰小队一起向庄园发起攻击。		Assets/Product/Texture/Image/UiFubenTrialBg/UiFubenzhuxian006.png
10	5	3-8谨慎行事	60	1006	1	30505	30499	1	Assets/Product/Texture/Image/UiFubenTrialBanner/UiFubenzhuxian7.png			10030504		不消耗体力\n与超频的怪物战斗\n庄园内突然出现了新种和大量感染体的援军，尽快打倒新种撤离这里。		Assets/Product/Texture/Image/UiFubenTrialBg/UiFubenzhuxian007.png
11	5	3-10扭曲的爱好	60	1007	1	30506	30499	1	Assets/Product/Texture/Image/UiFubenTrialBanner/UiFubenzhuxian8.png			10030602		不消耗体力\n与超频的怪物战斗\n作战重新开始，灰鸦小队将作为诱饵吸引敌人注意力好让突击鹰潜入庄园。		Assets/Product/Texture/Image/UiFubenTrialBg/UiFubenzhuxian008.png
12	5	3-11忠诚	60	1008	1	30507	30499	1	Assets/Product/Texture/Image/UiFubenTrialBanner/UiFubenzhuxian9.png			10030603		不消耗体力\n与超频的怪物战斗\n为了尽可能的吸引火力，灰鸦小队决定进入庄园建筑内部。		Assets/Product/Texture/Image/UiFubenTrialBg/UiFubenzhuxian009.png
13	5	3-12新的种子	60	1009	1	30508	30499	1	Assets/Product/Texture/Image/UiFubenTrialBanner/UiFubenzhuxian10.png			10030604		不消耗体力\n与超频的怪物战斗\n由于未知的原因，灰鸦小队和突击鹰小队失去了联络，当务之急是先撤离这里。		Assets/Product/Texture/Image/UiFubenTrialBg/UiFubenzhuxian010.png
14	6	4-1白夜出逃	65	1010	1	30509	30499	1	Assets/Product/Texture/Image/UiFubenTrialBanner/UiFubenzhuxian11.png			10040401		不消耗体力\n与超频的怪物战斗\n因为突击鹰部队受到重创，神威被重新分派成灰鸦的队员，而灰鸦在这里的最后工作就是建立安全区。		Assets/Product/Texture/Image/UiFubenTrialBg/UiFubenzhuxian011.png
15	6	4-2剿	65	1011	1	30510	30499	1	Assets/Product/Texture/Image/UiFubenTrialBanner/UiFubenzhuxian12.png			10040402		不消耗体力\n与超频的怪物战斗\n掩护里在庄园外部建立隔离装置，完成最后的这步就能确保一条安全来往基地和传送门的道路了。		Assets/Product/Texture/Image/UiFubenTrialBg/UiFubenzhuxian012.png
16	6	4-3断链	65	1012	1	30511	30499	1	Assets/Product/Texture/Image/UiFubenTrialBanner/UiFubenzhuxian13.png			10040403		不消耗体力\n与超频的怪物战斗\n庄园内部突然响起了警报声，得尽快前往确保传送门的安全。		Assets/Product/Texture/Image/UiFubenTrialBg/UiFubenzhuxian013.png
17	6	4-4查克	65	1013	1	30512	30499	1	Assets/Product/Texture/Image/UiFubenTrialBanner/UiFubenzhuxian14.png			10040404		不消耗体力\n与超频的怪物战斗\n警报的原因是感染体误触了保安的启动装置，消灭感染体和保安机械人。		Assets/Product/Texture/Image/UiFubenTrialBg/UiFubenzhuxian014.png
