Id	Width	Height	Name	Icon	SmallIcon	Quality	Model	Desc	TypeId	LocateType	SuitId	GainType	CreateTime	RandomGroupId	InteractRange	InteractWeight	InteractPos	InteractName	ReturnId	PicId	PicNum	MoneyNum	IlluminationSO	PointLight	BehaviorType	AttractBehaviorType	AnimationId	AttrTagY
8301004			浅色天花板	Assets/Product/Texture/Image/IconTools/IconDormBasisceiling001.png	Assets/Product/Texture/Image/IconToolsSp/IconDormBasisceiling001Sp.png	4	Assets/Product/Scene/SuShe/Furniture/Basisceiling/Basisceiling001.prefab	非常普通的制式天花板，看久了让人昏昏欲睡。	25003	0	4	1	5	1							1	2	Assets/Product/Scene/SuShe/IlluminationSO/GlobalIllumSOBased.asset	Assets/Product/Scene/SuShe/PointLightPrefab/PointLightBased.prefab			1	1
8201004			金属墙	Assets/Product/Texture/Image/IconTools/IconDormBasiswall001.png	Assets/Product/Texture/Image/IconToolsSp/IconDormBasiswall001Sp.png	4	Assets/Product/Scene/SuShe/Furniture/Basiswall/Basiswall001.prefab	金属材质的墙壁，非常坚固。	25002	0	4	1	5	1							1	2					1	1
8101004			金属地板	Assets/Product/Texture/Image/IconTools/IconDormBasisfloor001.png	Assets/Product/Texture/Image/IconToolsSp/IconDormBasisfloor001Sp.png	3	Assets/Product/Scene/SuShe/Furniture/Basisfloor/Basisfloor001.prefab	金属材质的地板，有灰鸦小队的标签。	25001	0	4	1	5	1							1	2					1	1
8511003	11	3	培育装置	Assets/Product/Texture/Image/IconTools/IconDormBasistrays001.png	Assets/Product/Texture/Image/IconToolsSp/IconDormBasistrays001Sp.png	4	Assets/Product/Scene/SuShe/Furniture/Basistrays/Basistrays001.prefab	如果构造体累了，就去里面呆上一会儿吧。	25011	1	4	1	5	1							1	2					1	1
8511004	5	2	宿舍茶几	Assets/Product/Texture/Image/IconTools/IconDormBasisteatable001.png	Assets/Product/Texture/Image/IconToolsSp/IconDormBasisteatable001Sp.png	4	Assets/Product/Scene/SuShe/Furniture/Basisteatable/Basisteatable001.prefab	摆着一些文件的茶几，工作狂专属。	25011	1	4	1	5	1							1	2					1	1
8510005	4	2	收纳箱	Assets/Product/Texture/Image/IconTools/IconDormBasiscabinet001.png	Assets/Product/Texture/Image/IconToolsSp/IconDormBasiscabinet001Sp.png	4	Assets/Product/Scene/SuShe/Furniture/Basiscabinet/Basiscabinet001.prefab	大大的收纳箱。私人物品不要随意翻看哦。	25010	1	4	1	5	1							1	2					1	1
8612005	8	2	电缆	Assets/Product/Texture/Image/IconTools/IconDormBasiscable001.png	Assets/Product/Texture/Image/IconToolsSp/IconDormBasiscable001Sp.png	4	Assets/Product/Scene/SuShe/Furniture/Basiscable/Basiscable001.prefab	不知道为什么会露出来的房间电缆。	25012	2	4	1	5	1							1	2					1	1
8612006	3	5	温度调节器	Assets/Product/Texture/Image/IconTools/IconDormBasisairconditioning001.png	Assets/Product/Texture/Image/IconToolsSp/IconDormBasisairconditioning001Sp.png	4	Assets/Product/Scene/SuShe/Furniture/Basisairconditioning/Basisairconditioning001.prefab	能自动调节室内温度的装置。	25012	2	4	1	5	1							1	2					1	1
8612007	4	2	宿舍窗户	Assets/Product/Texture/Image/IconTools/IconDormBasiswindow001.png	Assets/Product/Texture/Image/IconToolsSp/IconDormBasiswindow001Sp.png	4	Assets/Product/Scene/SuShe/Furniture/Basiswindow/Basiswindow001.prefab	用来透光的普通窗户。	25012	2	4	1	5	1							1	2					1	1
8508002	3	3	沙发凳	Assets/Product/Texture/Image/IconTools/IconDormBasisstool001.png	Assets/Product/Texture/Image/IconToolsSp/IconDormBasisstool001Sp.png	4	Assets/Product/Scene/SuShe/Furniture/Basisstool/Basisstool001.prefab	铺着舒适坐垫的小圆凳。	25009	1	4	1	5	1	2	20	1#-2				1	2			BENCH	GOBENCH	1	0.4
