Id	BornMagic[1]	BornMagic[2]	BornMagic[3]	BornMagic[4]	BornMagic[5]	BornMagic[6]	SkillId[1]	SkillId[2]	SkillId[3]	SkillId[4]	SkillId[5]	SkillId[6]	Ability
120102	600201	600202	600203	600204	600205								0
120104	600206												0
130102	600401												0
130104	600403												0
130402	600301												0
130404	600303												0
140102	610402												0
140104	610403												0
140402	610301												0
140404	610303												0
140702	610201												0
140704	610202												0
141002	610101												0
141004	610107												0
141302	600504												0
150102	620801												0
150104	620803												0
150202	620701												0
150204	620705												0
150302	620601	620602	620603	620604	620605								0
150304	620606												0
150402	620501												0
150404	620503												0
150502	620401												0
150504	620406												0
150602	620301	620302											0
150604	620304												0
150702	620201	620202											0
150704	620207												0
150802	620101												0
150804	620103												0
160102	631401												0
160104	631403												0
160202	631201	631202	631203	631204	631205	631206							0
160204	631207												0
160302	631101	631102	631103	631104	631105	631106							0
160304	631107												0
160402	630801												0
160404	630804												0
160502	630701												0
160504	630703												0
160602	630601												0
160604	630605												0
160702	630501												0
160704	630508												0
160802	630401												0
160804	630403												0
160902	630301												0
160904	630306												0
161002	630201	630202											0
161004	630205												0
161102	630101	630102											0
161104	630111												0
161202	631301												0
161204	631306												0
161402	631501	631502											0
161404	631503												0
190102	600101	600102											0
190104	600103												0
190202	600101	600102											0
190204	600103												0
155002	620901	620902											0
155004	620904												0
155012	621001	621002	621003	621004	621005	621006							0
