Id	Site	Star	UseMoney
1	0	1	200
2	0	2	500
3	0	3	1000
4	0	4	3000
5	0	5	5000
6	0	6	7000
7	1	1	200
8	1	2	500
9	1	3	1000
10	1	4	3000
11	1	5	5000
12	1	6	7000
13	2	1	200
14	2	2	500
15	2	3	1000
16	2	4	3000
17	2	5	5000
18	2	6	7000
19	3	1	200
20	3	2	500
21	3	3	1000
22	3	4	3000
23	3	5	5000
24	3	6	7000
25	4	1	200
26	4	2	500
27	4	3	1000
28	4	4	3000
29	4	5	5000
30	4	6	7000
31	5	1	200
32	5	2	500
33	5	3	1000
34	5	4	3000
35	5	5	5000
36	5	6	7000
37	6	1	200
38	6	2	500
39	6	3	1000
40	6	4	3000
41	6	5	5000
42	6	6	7000
