Id	IconPath	BigIconPath	Name	Description	SkillEffect[1]	SkillEffect[2]	SkillEffect[3]	SkillEffect[4]	SkillEffect[5]	SkillEffect[6]	SkillDescription[1]	SkillDescription[2]	SkillDescription[3]	SkillDescription[4]	SkillDescription[5]	SkillDescription[6]
0	Assets/Product/Texture/Image/IconTools/E1GunMd030011.png		无	无												
1101	Assets/Product/Texture/Image/IconToolsSp/EYuesefuI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EYiefuliemofuI01002.png	约瑟夫	白板								攻击力增加5点				
1201	Assets/Product/Texture/Image/IconToolsSp/ESipeierI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/ESipeierI01002.png	施佩尔	攻击强化		120102		120104				攻击力增加10点		生命值增加50点		
1301	Assets/Product/Texture/Image/IconToolsSp/EModeerI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EModeerI01002.png	莫德尔	近距离战斗强化		130102		130104				攻击2米内的怪物时，伤害增加3%。		受到2米内的怪物攻击时，伤害减少3%。		
1304	Assets/Product/Texture/Image/IconToolsSp/EHeermanI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EHeermanI01002.png	赫尔曼	远距离战斗强化		130402		130404				攻击3米外的怪物时，伤害增加3%。		受到3米外的怪物攻击时，伤害减少3%。		
1401	Assets/Product/Texture/Image/IconToolsSp/EAjimideI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EAjimideI01002.png	阿基米德	普通攻击强化		140102		140104				普通攻击伤害增加5%。		每经过10秒，下1次使用普通攻击将增加普通攻击伤害10%，持续4秒。		
1404	Assets/Product/Texture/Image/IconToolsSp/EAidishengI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EAidishengI01002.png	爱迪生	技能攻击强化		140402		140404				信号球技能伤害增加5%。		3消后，自身伤害增加5%，持续5秒。		
1407	Assets/Product/Texture/Image/IconToolsSp/EAliceI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EAliceI01002.png	爱丽丝	辅助强化		140702		140704				治疗效果增加5%。		治疗目标使其物理伤害和属性增加4%，持续4秒。		
1410	Assets/Product/Texture/Image/IconToolsSp/EKanninganI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EKanninganI01002.png	坎宁安	防御强化		141002		141004				攻击霸体状态的敌人时，物理伤害和属性伤害增加5%。		5秒内连续受击，获得减伤护盾，下次受到伤害减少30%。有5秒的冷却时间。		
1413	Assets/Product/Texture/Image/IconToolsSp/EAdaifuYYI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EAdaifuYYI01002.png	阿呆芙-永恒	召唤强化		141302						攻击目标时，有20%几率呼叫炮击，每枚炮弹对目标造成40%的物理伤害，有15秒的冷却时间。				
1501	Assets/Product/Texture/Image/IconToolsSp/ELongmeierI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/ELongmeierI01002.png	埃尔温	普通攻击强化		150102		150104				普通攻击伤害增加10%		未受到攻击时，普通攻击伤害增加15%，受到攻击后进入冷却，冷却时间12秒。		
1502	Assets/Product/Texture/Image/IconToolsSp/EAifuI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EAifuI01002.png	爱芙	技能强化		150202		150204				每消除1个球增加2%全伤害，持续3秒，最多叠5层。		每60秒，下次3消会进入超算空间。		
1503	Assets/Product/Texture/Image/IconToolsSp/EAikeI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EAikeI01002.png	艾克	能量攻击强化		150302		150304				全伤害增加2%，属性伤害增加4%。		造成属性伤害时，有15%几率造成根据属性对应的灼烧、感电、冻伤、侵蚀。持续5秒，对同一单位有8秒的冷却时间。		
1504	Assets/Product/Texture/Image/IconToolsSp/EFuertaiI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EFuertaiI01002.png	伏尔泰	削弱敌人强化Ⅰ		150402		150404				攻击会使目标防御减少10%，持续5秒，有12秒的冷却时间。		每次受到伤害，减少伤害来源方的物理防御15%，持续7秒，最多叠加2次。		
1505	Assets/Product/Texture/Image/IconToolsSp/EGeluodaI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EGeluodaI01002.png	歌罗达	削弱敌人强化Ⅱ		150502		150504				攻击目标使目标全属性抗性减少6%，持续5秒。有12秒的冷却时间。		每次受到伤害获得一层属性效果，降低半径5米范围内怪物6%属性抗性，持续7秒，重复触发刷新。		
1506	Assets/Product/Texture/Image/IconToolsSp/ELisailiuI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/ELisailiuI01002.png	黎塞留	攻击辅助强化		150602		150604				治疗效果增加5%，下次治疗使目标物理伤害增加8%，持续4秒。有5秒的冷却时间。		每消除8个球，额外获得一个随机球。有5秒的冷却时间。		
1507	Assets/Product/Texture/Image/IconToolsSp/ESamandaI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/ESamandaI01002.png	萨曼达	能量辅助强化		150702		150704				治疗效果增加5%，下次治疗使目标属性伤害增加8%，持续4秒。有5秒的冷却时间。		下次释放治疗技能，留下属性光环，处于区域内的友方单位增加8%的属性伤害和5%的属性抗性，有10秒的冷却时间。		
1508	Assets/Product/Texture/Image/IconToolsSp/EMozateI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EMozateI01002.png	莫扎特	极限闪避强化		150802		150804				处于超算空间时，全伤害增加15%。		触发超算空间时，造成一次200%全屏伤害。		
1550	Assets/Product/Texture/Image/IconToolsSp/EShengdanlifuI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EShengdanlifuI01001.png	丽芙·驯鹿	能量强化		155002		155004				信号球技能伤害增加5%，治疗效果增加5%		攻击敌人时，有20%几率在敌人身边随机掉落圣诞礼物盒，拾取礼物盒回复5点能量，并使自身全伤害增加5%，持续5秒，有10秒的冷却时间。		
1551	Assets/Product/Texture/Image/IconToolsSp/EXinniankalieI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EXinniankalieI01001.png	年禧焰火	伤害强化		155012						攻击力增加5%，累积消除3个红色信号球后，召唤4个环绕的红包，红包触碰敌人时，造成10%火属性伤害，持续10秒，有30秒的冷却时间。				
1552	Assets/Product/Texture/Image/IconToolsSp/EYuanxiaoluxiyaI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EYuanxiaoluxiyaI01001.png	元宵·重聚	攻击强化		155022						释放3消或QTE技能后，传送一个元宵灯跟随在场角色移动，并且为附近的友方目标增加7%的攻击力、移动速度，持续15秒，有30秒的冷却时间。				
1601	Assets/Product/Texture/Image/IconToolsSp/EKangdelinaI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EKangdelinaI01002.png	康德丽娜	普通攻击强化		160102		160104				普通攻击伤害增加15%		普攻有25%几率进入暴怒状态，增加15%普攻伤害和5%暴击率，持续5秒。有8秒的冷却时间。		
1602	Assets/Product/Texture/Image/IconToolsSp/EShashibiyaI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EShashibiyaI01002.png	莎士比亚	火系强化		160202		160204				全攻击增加3%，火属性伤害增加7%		攻击时，有50%的概率造成灼烧状态，持续5秒。攻击灼烧目标时，有20%触发爆炸，造成100%火属性伤害，有5秒的冷却时间。灼烧，被灼烧单位降低8%的火属性抗性，并每1秒造成一次12%的火属性伤害，可叠加3层。		
1603	Assets/Product/Texture/Image/IconToolsSp/EHaisenbaoI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EHaisenbaoI01002.png	海森	雷系强化		160302		160304				全攻击增加3%，雷属性伤害增加7%		攻击时，有25%的概率引发半径3.5米的雷暴，雷暴使目标感电5秒，有5秒的冷却时间。攻击感电敌人20%概率造成闪电链的伤害，有8秒的冷却时间。闪电链：所有感电的目标受到一次250%的雷电伤害。雷暴：100%的雷属性伤害。感电：雷属性抗性降低8%。		
1604	Assets/Product/Texture/Image/IconToolsSp/EDaerwenI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EDaerwenI01002.png	达尔文	消除强化		160402		160404				每消除1个球增加3%全伤害，持续4秒，最多叠5层		消除球时增加对应球颜色的特效，集齐3种颜色释放一次以角色为中心的直径12米大范围冲击波，造成600%的物理伤害。		
1605	Assets/Product/Texture/Image/IconToolsSp/EHannaI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EHannaI01002.png	汉娜	三消强化		160502		160504				3消伤害增加25%。		每30秒，下次3消会进入超算空间，并获得1个随机信号球。		
1606	Assets/Product/Texture/Image/IconToolsSp/EAdaifuI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EAdaifuI01002.png	阿呆芙	必杀强化		160602		160604				消球时，额外获得20%的能量。必杀技所需能量值减少20%。		释放必杀技时，使自身全伤害增加15%，持续10秒。释放完大招后，获得霸体状态，并减少受到伤害的20%，持续5秒。		
1607	Assets/Product/Texture/Image/IconToolsSp/EDafenqiI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EDafenqiI01002.png	达芬奇	QTE强化		160702		160704				QTE时登场会给操控的角色增加10%的攻击力，20%防御力，持续8秒。		QTE出场时，激活另1角色QTE，有8秒的冷却时间，三个角色同时在场时增加20%攻击力。		
1608	Assets/Product/Texture/Image/IconToolsSp/EKaiselinI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EKaiselinI01002.png	凯瑟琳	生存能力强化Ⅰ		160802		160804				QTE、3消技能，将降低目标20%的物理防御，持续8秒。有10秒的冷却时间。		受到伤害时，获得自身防御值20%的护盾，抵挡此次物理伤害，并使自身物理伤害增加15%，持续5秒。有8秒的冷却时间。		
1609	Assets/Product/Texture/Image/IconToolsSp/EAiyinsitanI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EAiyinsitanI01002.png	爱因斯坦娜	生存能力强化Ⅱ		160902		160904				QTE、3消，使目标相关属性抗性降低15%，持续8秒。有10秒的冷却时间。		受到伤害时，展开属性光环，获得5%+自身防御值1%的属性抗性，持续5秒，光环存在时造成属性伤害增加15%。有8秒的冷却时间。		
