Id	AttribPoolId[1]	AttribPoolWeight[1]	AttribPoolId[2]	AttribPoolWeight[2]	AttribPoolId[3]	AttribPoolWeight[3]	CharacterSkillPoolId[1]	CharacterSkillPoolWeight[1]	CharacterSkillPoolId[2]	CharacterSkillPoolWeight[2]	WeaponSkillPoolId[1]	WeaponSkillPoolWeight[1]	WeaponSkillPoolId[2]	WeaponSkillPoolWeight[2]	WeaponSkillPoolId[3]	WeaponSkillPoolWeight[3]
2015001	5	100	8	100	9	100										
2016001											1	100	2	100	3	100
2016002											1	100	2	100	3	100
2025001	5	100	8	100	9	100										
2026001											1	100	2	100	3	100
2026002											1	100	2	100	3	100
2026003											1	100	2	100	3	100
2026004											1	100	2	100	3	100
2035001	5	100	8	100	9	100										
2036001											1	100	2	100	3	100
2036002											1	100	2	100	3	100
2036003											1	100	2	100	3	100
2045001	5	100	8	100	9	100										
2046001											1	100	2	100	3	100
2055001	5	100	8	100	9	100										
2056001											1	100	2	100	3	100
2056002											1	100	2	100	3	100
2065001	5	100	8	100	9	100										
2065050	5	100	8	100	9	100										
2066001											1	100	2	100	3	100
2066002											1	100	2	100	3	100
2075001	5	100	8	100	9	100										
2076001											1	100	2	100	3	100
2076002											1	100	2	100	3	100
2085001	5	100	8	100	9	100										
2086001											1	100	2	100	3	100
3015001	6	100	6	100												
3015002	6	100	6	100												
3015003	6	100	6	100												
3015004	6	100	6	100												
3015005	6	100	6	100												
3015006	6	100	6	100												
3015007	6	100	6	100												
3015008	6	100	6	100												
3016001	7	100	7	100			1	100	2	100						
3016002	7	100	7	100			1	100	2	100						
3016003	7	100	7	100			1	100	2	100						
3016004	7	100	7	100			1	100	2	100						
3016005	7	100	7	100			1	100	2	100						
3016006	7	100	7	100			1	100	2	100						
3016007	7	100	7	100			1	100	2	100						
3016008	7	100	7	100			1	100	2	100						
3016009	7	100	7	100			1	100	2	100						
3016010	7	100	7	100			1	100	2	100						
3016011	7	100	7	100			1	100	2	100						
3016012	7	100	7	100			1	100	2	100						
3025001	6	100	6	100												
3025002	6	100	6	100												
3025003	6	100	6	100												
3025004	6	100	6	100												
3025005	6	100	6	100												
3025006	6	100	6	100												
3025007	6	100	6	100												
3025008	6	100	6	100												
3026001	7	100	7	100			1	100	2	100						
3026002	7	100	7	100			1	100	2	100						
3026003	7	100	7	100			1	100	2	100						
3026004	7	100	7	100			1	100	2	100						
3026005	7	100	7	100			1	100	2	100						
3026006	7	100	7	100			1	100	2	100						
3026007	7	100	7	100			1	100	2	100						
3026008	7	100	7	100			1	100	2	100						
3026009	7	100	7	100			1	100	2	100						
3026010	7	100	7	100			1	100	2	100						
3026011	7	100	7	100			1	100	2	100						
3026012	7	100	7	100			1	100	2	100						
3035001	6	100	6	100												
