Id	MaxRecommendFight	MaxShowFight	AvgRecommendFight	AvgShowFight	RecommendFight	ShowFight	CharacterFight	EquipFight
1					112	160	64	96
2					119	170	68	102
3					126	180	72	108
4					133	190	76	114
5					140	200	80	120
6					147	210	84	126
7					154	220	88	132
8					168	240	96	144
9					182	260	104	156
10					189	270	108	162
11					196	280	112	168
12					210	300	120	180
13					213	305	122	183
14					382	450	180	270
15					382	450	180	270
16					382	450	180	270
17					382	450	180	270
18					382	450	180	270
19					552	650	260	390
20					552	650	260	390
21					552	650	260	390
22					552	650	260	390
23					552	650	260	390
24					552	650	260	390
1000					722	850	340	510
1001					722	850	340	510
1002					722	850	340	510
1003					722	850	340	510
1004					722	850	340	510
1005					722	850	340	510
25					935	1100	440	660
26					935	1100	440	660
27					935	1100	440	660
28					935	1100	440	660
29					935	1100	440	660
30					935	1100	440	660
31					1105	1300	520	780
32					1105	1300	520	780
33					1105	1300	520	780
34					1105	1300	520	780
35					1105	1300	520	780
36					1105	1300	520	780
1006					1360	1600	640	960
1007					1360	1600	640	960
1008					1360	1600	640	960
1009					1360	1600	640	960
1010					1360	1600	640	960
1011					1360	1600	640	960
37					1530	1800	720	1080
38					1530	1800	720	1080
39					1530	1800	720	1080
40					1530	1800	720	1080
41					1530	1800	720	1080
42					1530	1800	720	1080
43					1700	2000	800	1200
44					1700	2000	800	1200
45					1700	2000	800	1200
46					1700	2000	800	1200
47					1700	2000	800	1200
48					1700	2000	800	1200
1012					1870	2200	880	1320
1013					1870	2200	880	1320
1014					1870	2200	880	1320
1015					1870	2200	880	1320
1016					1870	2200	880	1320
1017					1870	2200	880	1320
49					1955	2300	920	1380
50					1955	2300	920	1380
51					1955	2300	920	1380
52					1955	2300	920	1380
53					1955	2300	920	1380
54					1955	2300	920	1380
55					2210	2600	1040	1560
56					2210	2600	1040	1560
57					2210	2600	1040	1560
58					2210	2600	1040	1560
59					2210	2600	1040	1560
60					2210	2600	1040	1560
1018					2380	2800	1120	1680
1019					2380	2800	1120	1680
1020					2380	2800	1120	1680
1021					2380	2800	1120	1680
1022					2380	2800	1120	1680
1023					2380	2800	1120	1680
61					2550	3000	1200	1800
62					2550	3000	1200	1800
63					2550	3000	1200	1800
64					2550	3000	1200	1800
65					2550	3000	1200	1800
66					2550	3000	1200	1800
67					2720	3200	1280	1920
68					2720	3200	1280	1920
69					2720	3200	1280	1920
70					2720	3200	1280	1920
71					2720	3200	1280	1920
72					2720	3200	1280	1920
1024					2890	3400	1360	2040
1025					2890	3400	1360	2040
1026					2890	3400	1360	2040
1027					2890	3400	1360	2040
1028					2890	3400	1360	2040
1029					2890	3400	1360	2040
73					3060	3600	1440	2160
74					3060	3600	1440	2160
75					3060	3600	1440	2160
76					3060	3600	1440	2160
77					3060	3600	1440	2160
78					3060	3600	1440	2160
79					3230	3800	1520	2280
80					3230	3800	1520	2280
81					3230	3800	1520	2280
82					3230	3800	1520	2280
83					3230	3800	1520	2280
84					3230	3800	1520	2280
1030					3400	4000	1600	2400
1031					3400	4000	1600	2400
1032					3400	4000	1600	2400
1033					3400	4000	1600	2400
1034					3400	4000	1600	2400
1035					3400	4000	1600	2400
85					3570	4200	1680	2520
86					3570	4200	1680	2520
87					3570	4200	1680	2520
88					3570	4200	1680	2520
89					3570	4200	1680	2520
90					3570	4200	1680	2520
91					3740	4400	1760	2640
92					3740	4400	1760	2640
93					3740	4400	1760	2640
94					3740	4400	1760	2640
95					3740	4400	1760	2640
96					3740	4400	1760	2640
1036					3910	4600	1840	2760
1037					3910	4600	1840	2760
1038					3910	4600	1840	2760
1039					3910	4600	1840	2760
1040					3910	4600	1840	2760
1041					3910	4600	1840	2760
1042					4165	4900	1960	2940
1043					4165	4900	1960	2940
1044					4165	4900	1960	2940
1045					4165	4900	1960	2940
1046					4165	4900	1960	2940
1047					4165	4900	1960	2940
4000					2550	3000	1200	1800
4001					2550	3000	1200	1800
4002					2550	3000	1200	1800
4003					2550	3000	1200	1800
4004					2550	3000	1200	1800
4005					2550	3000	1200	1800
4006					2550	3000	1200	1800
4007					2550	3000	1200	1800
4008					2550	3000	1200	1800
4009					2550	3000	1200	1800
4010					2550	3000	1200	1800
4011					2550	3000	1200	1800
4012					2550	3000	1200	1800
4013					2550	3000	1200	1800
4014					2550	3000	1200	1800
4015					2550	3000	1200	1800
4016					3400	4000	1600	2400
4017					3400	4000	1600	2400
4018					3400	4000	1600	2400
4019					3400	4000	1600	2400
4020					3400	4000	1600	2400
4021					3400	4000	1600	2400
4022					3400	4000	1600	2400
4023					3400	4000	1600	2400
4024					3400	4000	1600	2400
4025					3400	4000	1600	2400
4026					3400	4000	1600	2400
4027					3400	4000	1600	2400
4028					3400	4000	1600	2400
4029					3400	4000	1600	2400
4030					3400	4000	1600	2400
4031					3400	4000	1600	2400
4032					4250	5000	2000	3000
4033					4250	5000	2000	3000
4034					4250	5000	2000	3000
4035					4250	5000	2000	3000
4036					4250	5000	2000	3000
4037					4250	5000	2000	3000
4038					4250	5000	2000	3000
4039					4250	5000	2000	3000
4040					4250	5000	2000	3000
4041					4250	5000	2000	3000
4042					4250	5000	2000	3000
4043					4250	5000	2000	3000
4044					4250	5000	2000	3000
4045					4250	5000	2000	3000
4046					4250	5000	2000	3000
4047					4250	5000	2000	3000
4048					5100	6000	2400	3600
4049					5100	6000	2400	3600
4050					5100	6000	2400	3600
4051					5100	6000	2400	3600
4052					5100	6000	2400	3600
4053					5100	6000	2400	3600
4054					5100	6000	2400	3600
4055					5100	6000	2400	3600
4056					5100	6000	2400	3600
4057					5100	6000	2400	3600
4058					5100	6000	2400	3600
4059					5100	6000	2400	3600
4060					5100	6000	2400	3600
4061					5100	6000	2400	3600
4062					5100	6000	2400	3600
30070101					476	560	224	336
30070102					816	960	384	576
30070103					1088	1280	512	768
30070104					1292	1520	608	912
30070105					1496	1760	704	1056
30070106					1700	2000	800	1200
30070107					1904	2240	896	1344
30070108					2176	2560	1024	1536
30070109					2448	2880	1152	1728
30070110					3200	3200	1280	1920
10000	1	1			4000	4000	1600	2400
10001	1	1			4030	4030	1612	2418
10002	1	1			4060	4060	1624	2436
10003	1	1			4090	4090	1636	2454
10004	1	1			4120	4120	1648	2472
10005	1	1			4150	4150	1660	2490
10006	1	1			4180	4180	1672	2508
10007	1	1			4210	4210	1684	2526
10008	1	1			4240	4240	1696	2544
10009	1	1			4270	4270	1708	2562
10010	1	1			4300	4300	1720	2580
10011	1	1			4330	4330	1732	2598
10012	1	1			4360	4360	1744	2616
10013	1	1			4390	4390	1756	2634
10014	1	1			4420	4420	1768	2652
10015	1	1			4450	4450	1780	2670
10016	1	1			4480	4480	1792	2688
10017	1	1			4510	4510	1804	2706
10018	1	1			4540	4540	1816	2724
10019	1	1			4570	4570	1828	2742
10020	1	1			4600	4600	1840	2760
10021	1	1			4630	4630	1852	2778
