Id	StageId	Difficulty	RecommendAbility	AdditionDest	FinishDropId	FirstRewardId	FlopRewardId	MonsterLevel[1]	MonsterLevel[2]	MonsterLevel[3]	MonsterLevel[4]
1	20000101	1	2200	正常奖励	201101		1	30	30	30	1
2	20000101	2	2400	奖励提升	201102		2	59	59	59	2
3	20000101	3	2600	奖励大提升	201103		3	76	76	76	3
4	20000102	1	2800	正常奖励	201104		4	92	92	92	1
5	20000102	2	3200	奖励提升	201105		5	121	121	121	2
6	20000102	3	3600	奖励大提升	201106		6	149	149	149	3
7	20000103	1	4000	正常奖励	201107		7	156	156	156	1
8	20000103	2	4400	奖励提升	201108		8	185	185	185	2
9	20000103	3	4800	奖励大提升	201109		9	213	213	213	3
10	20000104	1	5200	正常奖励	201110		10	241	241	241	1
11	20000104	2	5600	奖励提升	201111		11	269	269	269	2
12	20000104	3	6000	奖励大提升	201112		12	296	296	296	3
19	30030501	1		正常奖励				1	1	1	1
20	30030501	2		奖励提升				1	1	1	2
21	30030501	3		奖励大提升				1	1	1	3
22	20000201	1	2200	正常奖励	201101		1	30	30	30	1
23	20000201	2	2400	奖励提升	201102		2	59	59	59	2
24	20000201	3	2600	奖励大提升	201103		3	76	76	76	3
25	20000202	1	2800	正常奖励	201104		4	92	92	92	1
26	20000202	2	3200	奖励提升	201105		5	121	121	121	2
27	20000202	3	3600	奖励大提升	201106		6	149	149	149	3
28	20000203	1	4000	正常奖励	201107		7	156	156	156	1
29	20000203	2	4400	奖励提升	201108		8	185	185	185	2
30	20000203	3	4800	奖励大提升	201109		9	213	213	213	3
31	20000204	1	5200	正常奖励	201110		10	241	241	241	1
32	20000204	2	5600	奖励提升	201111		11	269	269	269	2
33	20000204	3	6000	奖励大提升	201112		12	296	296	296	3
34	20000301	1	2200	正常奖励	201101		1	30	30	30	1
35	20000301	2	2400	奖励提升	201102		2	59	59	59	2
36	20000301	3	2600	奖励大提升	201103		3	76	76	76	3
37	20000302	1	2800	正常奖励	201104		4	92	92	92	1
38	20000302	2	3200	奖励提升	201105		5	121	121	121	2
39	20000302	3	3600	奖励大提升	201106		6	149	149	149	3
40	20000303	1	4000	正常奖励	201107		7	156	156	156	1
41	20000303	2	4400	奖励提升	201108		8	185	185	185	2
42	20000303	3	4800	奖励大提升	201109		9	213	213	213	3
43	20000304	1	5200	正常奖励	201110		10	241	241	241	1
44	20000304	2	5600	奖励提升	201111		11	269	269	269	2
45	20000304	3	6000	奖励大提升	201112		12	296	296	296	3
46	20000401	1	2200	正常奖励	201101		1	30	30	30	1
47	20000401	2	2400	奖励提升	201102		2	59	59	59	2
48	20000401	3	2600	奖励大提升	201103		3	76	76	76	3
49	20000402	1	2800	正常奖励	201104		4	92	92	92	1
50	20000402	2	3200	奖励提升	201105		5	121	121	121	2
51	20000402	3	3600	奖励大提升	201106		6	149	149	149	3
52	20000403	1	4000	正常奖励	201107		7	156	156	156	1
53	20000403	2	4400	奖励提升	201108		8	185	185	185	2
54	20000403	3	4800	奖励大提升	201109		9	213	213	213	3
55	20000404	1	5200	正常奖励	201110		10	241	241	241	1
56	20000404	2	5600	奖励提升	201111		11	269	269	269	2
57	20000404	3	6000	奖励大提升	201112		12	296	296	296	3
