StageId	Name	Description	Icon	BgmId	LoadingType	RewardTipId	EventId	NormalEventIdOnPassed	UnlockEventId	NormalEventId[1]	NormalEventId[2]	PreEventId[1]	PreEventId[2]	OrderId	RecommandLevel	IsMultiplayer	HaveAssist	StandardUseTimeSec	RequireLevel	RequireActionPoint	PassTimeLimit	PreStageId[1]	PreStageId[2]	PreStageId[3]	FlopRewardId	FinishRewardShow	FirstRewardShow	FinishDropId	FirstRewardId	StarRewardId[2]	StarRewardId[3]	StarRewardId	TeamExp	CardExp	MaxChallengeNums	BuyChallengeCost	BuyChallengeCount	KeepPlayingStory	BeginStoryId	EndStoryId	OnlinePlayerLeast	OnlinePlayerLimit	StarDesc[1]	StarDesc[2]	StarDesc[3]	SuggestedConditionId[1]	SuggestedConditionId[2]	SuggestedConditionId[3]	ForceConditionId[1]	ForceConditionId[2]	ForceConditionId[3]	HaveFirstPass	FirstGotoSkipId	FunctionLeftBtn	FunctionRightBtn	RobotId[1]	RobotId[2]	RobotId[3]	UrgentEventId[1]	UrgentEventId[2]	UrgentEventId[3]	RebootId	AutoFightId	StageType	StageGridStyle	FightControlId	DisableJoystick	NeedJobType[1]	NeedJobType[2]	NeedJobType[3]
1	封测用作假关卡	灰鸦小队迎来了新任的指挥官，和小队成员一起进行收复地球的任务。		101				1						1			1			6													6									3	无	无	无																				Rectangle			1	2	3
2	封测用作假关卡	灰鸦小队迎来了新任的指挥官，和小队成员一起进行收复地球的任务。		101				1						1			1			6													6									3	无	无	无							1	1010	2	1										Rectangle			1	2	3
10010001	黎明	灰鸦小队迎来了新任的指挥官，和小队成员一起进行收复地球的任务。	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTabNormal01.png	101				1						1	1		1		1	6													6	10					1100141			3	全员存活通过关卡	死亡次数不超过1次	通关时间小于150秒							1		2	1							1			Rectangle		1	1	2	3
10010002	黎明	灰鸦小队迎来了新任的指挥官，和小队成员一起进行收复地球的任务。	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTabNormal02.png	111				1						2	1		1		1	6													6	10					1100142			3	全员存活通过关卡	死亡次数不超过1次	通关时间小于150秒							1		2	1							1			Rectangle		1	1	2	3
10010003	黎明	灰鸦小队迎来了新任的指挥官，和小队成员一起进行收复地球的任务。	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTabNormal03.png	112				1						3	1		1		1	6													6	10					1100143	3100143		3	全员存活通过关卡	死亡次数不超过1次	通关时间小于150秒							1	21	2	1										Rectangle			1	2	3
10010004	黎明	灰鸦小队迎来了新任的指挥官，和小队成员一起进行收复地球的任务。	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTabNormal01.png	111				1						4	1		1		1	6													6	10								3	全员存活通过关卡	死亡次数不超过1次	通关时间小于150秒							1		2	1							1			Rectangle			1	2	3
10010101	灰鸦过境	为了取得Q1战区的胜利，灰鸦小队决定向战区深处进发。	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png	101				1						1	3		1		1	6	300					100101010	10010101	100101	10010101				6	11	10				1100111	3100111		3	全员存活通过关卡	死亡次数不超过1次	通关时间小于150秒							1		2	1							1	1		Square	1		1	2	3
10010102	临别赠礼	在战斗途中收到会合信息的灰鸦决定把C点定为眼下的目的地。	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png	101				1						2	3		1		1	6	300	10010101				100101020	10010102	100102	10010102				6	11	10				1100112			3	全员存活通过关卡	死亡次数不超过1次	通关时间小于150秒							1	21	2	1							1	1		Square	2	1	1	2	3
10010103	涂鸦浪潮	里认为丽芙并不适合战斗，于是让丽芙跟在身后，却在途中遭遇了伏击，丽芙也决定拿起武器。	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTabN0101.png	101				1						3	4		1		1	6	300	10010102				100101030	10010103	100103	10010103				6	11	10				1100113			3	全员存活通过关卡	死亡次数不超过1次	通关时间小于150秒							1	21	2	1							1	1		Rectangle	3		1	2	3
10010104	完整战力	试着用丽芙来战斗吧，指挥官——露西亚	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png	111				1						4	4		1		1	6	300	10010103				100101040	10010104	100104	10010104				6	11	10				1100114			3	全员存活通过关卡	死亡次数不超过1次	通关时间小于150秒							1	21	2	1							1	1		Square	4		1	2	3
10010201	还原现场	到达C点以后，灰鸦看见的是战友的残骸和啃食残骸的感染体，守护战友们的亡骸并驱赶感染体。	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png	101				1						5	5		1		1	6	300	10010104				100101050	10010105	100105	10010105				6	11	10				1100121			3	全员存活通过关卡	死亡次数不超过1次	通关时间小于150秒							1		2	1							1	1		Square	5		1	2	3
10010202	迷失雾中	为了之后的战斗，露西亚从残骸中找到了合适自己的手臂，眼前的这些感染体正好能当作新手臂的木桩。	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png	101				1						6	5		1		1	6	300	10010201				100101060	10010106	100106	10010106				6	11	10				1100122			3	全员存活通过关卡	死亡次数不超过1次	通关时间小于150秒							1	21	2	1							1	1		Square	6		1	2	3
10010203	柔软的心	虽然C点的队伍被全灭，但临时会合点不止一个，灰鸦决定往那些地点去。	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab02.png	102				1						7	6		1		1	6	300	10010202				100101070	10010107	100107	10010107				6	11	10				1100123			3	全员存活通过关卡	死亡次数不超过1次	通关时间小于150秒							1	21	2	1	1000						1	1		Square		1	1	2	3
10010204	前进的意义	在感染体的群体之中出现一只会发出奇怪笑声的“嘻嘻怪”，追过去看看。	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTabN0102.png	111				1						8	6		1		1	6	300	10010203				100101080	10010108	100108	10010108				6	11	10				1100124			3	全员存活通过关卡	死亡次数不超过1次	通关时间小于150秒							1	21	2	1							1	1		Rectangle	8		1	2	3
10010301	追随者们	市区的会合点也已经沦陷，通过调查同伴的残骸，灰鸦小队明白到自己的行踪被感染体完全捉住，现在必须先摆脱眼前的敌人。	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png	101				1						9	8		1		1	6	300	10010204				100101090	10010109	100109	10010109				6	15	10				1100131			3	全员存活通过关卡	死亡次数不超过1次	通关时间小于150秒							1	21	2	1							1	1		Square	9		1	2	3
10010302	底色	里因为情报完全被敌人紧握而失去了冷静，而在争吵的灰鸦小队面前又出现了新的追兵。	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png	101				1						10	8		1		1	6	300	10010301				100101100	10010110	100110	10010110				6	16	10				1100132			3	全员存活通过关卡	死亡次数不超过1次	通关时间小于150秒							1	21	2	1							1	1		Square	10		1	2	3
10010303	自我诠释	灰鸦小队在市区找到整顿装备的地方，丽芙和露西亚也从废墟中捡来了两个玩偶，而这时从建筑走出了感染体。	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab02.png	102				1						11	10		1		1	6	300	10010302				100101110	10010111	100111	10010111				6	16	10				1100133			3	全员存活通过关卡	死亡次数不超过1次	通关时间小于150秒							1		2	1							1	1		Square	11		1	2	3
10010304	最终创作	为了获胜和取回这个区域的主导权，灰鸦小队决定穿越城区往新种所在的工厂区	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTabN0103.png	112				1						12	10		1		1	6	300	10010303				100101120	10010112	100112	10010112				6	16	10				1100134	3100134		3	全员存活通过关卡	死亡次数不超过1次	通关时间小于150秒							1	21	2	1							1	1		Rectangle	12		1	2	3
10020101	奇怪的新朋友	消灭新种以后，感染体重新回到散乱的状态，灰鸦小队决定趁现在先搭建好通往传送门的安全路线。	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png	101				1						1	15		1		5	10	300	10010304				100201010	10020101	100201	10020101				10	20	10				1100211			3	全员存活通过关卡	死亡次数不超过1次	通关时间小于150秒							1	21	2	1							1	1		Square	13	1	1	2	3
