Id	ConsumeItemId	ConsumeItemCount	ExtraActionPoint	ShowRewardId	DropId	ShowDropId
1	22	1	0	200101013	201113	200101000
2	22	1	0	200101014	201114	200101001
3	22	1	0	200101015	201115	200101002
4	22	1	0	200101016	201116	200101003
5	22	1	0	200101017	201117	200101004
6	22	1	0	200101018	201118	200101005
7	22	1	0	200101019	201119	200101006
8	22	1	0	200101020	201120	200101007
9	22	1	0	200101021	201121	200101008
10	22	1	0	200101022	201122	200101009
11	22	1	0	200101023	201123	200101010
12	22	1	0	200101024	201124	200101011
