Id	Model	Name	HeadRoundIcon	HeadIcon	ExpFondleWidgetHeight	ExpDetailWidgetHeight	PutOnWidgetHight	DailogWidgetHight	DailogTouchHight	EffectWidgetHight	TouchWidgetHight	LoveType	LikeType	LikeCharIds[1]	LikeCharIds[2]	LikeCharIds[3]	LikeCharIds[4]	HateCharIds[1]	HateCharIds[2]	HateCharIds[3]	HateCharIds[4]
1011002	Assets/Product/Role/Room/Prefab/QR2LiangMd010011.prefab	里 异火	Assets/Product/Texture/Image/Role/RoleHeadLi3Q.png	Assets/Product/Texture/Image/Role/RoleHeadLiQ.png	0.85	0.7	1.2	1.4	0.51	1	0.6	2	3	1021001	1031001			1061002			
1021001	Assets/Product/Role/Room/Prefab/QR1LuxiyaMd010011.prefab	露西亚 红莲	Assets/Product/Texture/Image/Role/RoleHeadluxiya3Q.png	Assets/Product/Texture/Image/Role/RoleHeadluxiyaQ.png	0.85	0.7	1.2	1.4	0.51	1	0.6	2	3	1031001	1011003	1061003		1071002			
1031001	Assets/Product/Role/Room/Prefab/QR1LifuMd010011.prefab	丽芙 蚀暗	Assets/Product/Texture/Image/Role/RoleHeadLifu3Q.png	Assets/Product/Texture/Image/Role/RoleHeadLifuQ.png	0.85	0.7	1.2	1.4	0.51	1	0.6	1	2	1011002	1021001	1081002					
1041002	Assets/Product/Role/Room/Prefab/QR2BiankaMd010011.prefab	比安卡 零度	Assets/Product/Texture/Image/Role/RoleHeadAolisuo3Q.png	Assets/Product/Texture/Image/Role/RoleHeadAolisuoQ.png	0.85	0.7	1.2	1.4	0.51	1	0.6	3	2	1021001	1031002						
1051001	Assets/Product/Role/Room/Prefab/QR2YongyechaoMd010011.prefab	七实 风暴	Assets/Product/Texture/Image/Role/RoleHeadYongyechao3Q.png	Assets/Product/Texture/Image/Role/RoleHeadYongyechaoQ.png	0.85	0.7	1.2	1.4	0.51	1	0.6	2	1	1021001	1031001	1041002		1081002			
1061002	Assets/Product/Role/Room/Prefab/QR2ShenweiMd010011.prefab	神威 重能	Assets/Product/Texture/Image/Role/RoleHeadShenwei3Q.png	Assets/Product/Texture/Image/Role/RoleHeadShenweiQ.png	0.85	0.7	1.2	1.4	0.51	1	0.6	1	2	1031001	1021001	1081002					
1071002	Assets/Product/Role/Room/Prefab/QR2KalieninaMd010011.prefab	卡列尼娜 爆裂	Assets/Product/Texture/Image/Role/RoleHeadKalie3Q.png	Assets/Product/Texture/Image/Role/RoleHeadKalieQ.png	0.85	0.7	1.2	1.4	0.51	1	0.6	2	3	1071003	1041002			1081002			
1081002	Assets/Product/Role/Room/Prefab/QR2DubianMd010011.prefab	渡边 夜刃	Assets/Product/Texture/Image/Role/RoleHeadDubian3Q.png	Assets/Product/Texture/Image/Role/RoleHeadDubianQ.png	0.85	0.7	1.2	1.4	0.51	1	0.6	3	2	1061002	1031001	1011003					
1021002	Assets/Product/Role/Room/Prefab/QR2LuxiyaMd010011.prefab	露西亚 黎明	Assets/Product/Texture/Image/Role/RoleHeadluxiya3SQ.png	Assets/Product/Texture/Image/Role/RoleHeadluxiyaSQ.png	0.85	0.7	1.2	1.4	0.51	1	0.6	1	3	1031002	1011003	1061003					
1031002	Assets/Product/Role/Room/Prefab/QR2LifuMd010011.prefab	丽芙 流光	Assets/Product/Texture/Image/Role/RoleHeadLifu3SQ.png	Assets/Product/Texture/Image/Role/RoleHeadLifuSQ.png	0.85	0.7	1.2	1.4	0.51	1	0.6	3	2	1021002	1061002						
1061003	Assets/Product/Role/Room/Prefab/QR3ShenweiMd010011.prefab	神威 暗能	Assets/Product/Texture/Image/Role/RoleHeadShenwei3Q.png	Assets/Product/Texture/Image/Role/RoleHeadShenweiQ.png	0.85	0.7	1.2	1.4	0.51	1	0.6	2	3	1031002	1021001	1011003		1011002			
1031003	Assets/Product/Role/Room/Prefab/QR3LifuMd010011.prefab	丽芙 仰光	Assets/Product/Texture/Image/Role/RoleHeadLifu3SSQ.png	Assets/Product/Texture/Image/Role/RoleHeadLifuSSQ.png	0.85	0.7	1.2	1.4	0.51	1	0.6	3	1	1021002	1011003						
1011003	Assets/Product/Role/Room/Prefab/QR3LiangMd010011.prefab	里 乱数	Assets/Product/Texture/Image/Role/RoleHeadLi3SSQ.png	Assets/Product/Texture/Image/Role/RoleHeadLiSSQ.png	0.85	0.7	1.2	1.4	0.51	1	0.6	3	1	1021002	1031001	1061003					
1071003	Assets/Product/Role/Room/Prefab/QR3KalieninaMd010011.prefab	卡列尼娜 烬燃	Assets/Product/Texture/Image/Role/RoleHeadKalie3SSQ.png	Assets/Product/Texture/Image/Role/RoleHeadKalieSSQ.png	0.85	0.7	1.2	1.4	0.51	1	0.6	2	3	1031003	1041002						
1051003	Assets/Product/Role/Room/Prefab/QR3YongyechaoMd010011.prefab	七实 脉冲	Assets/Product/Texture/Image/Role/RoleHeadYongyechao3SSQ.png	Assets/Product/Texture/Image/Role/RoleHeadYongyechaoSSQ.png	0.85	0.7	1.2	1.4	0.51	1	0.6	2	1	1031001	1041002						
