StageId	DifficuIocn	Name	BgIconSmall	BgIconBig
30080101	Assets/Product/Texture/Image/IconType/IconTypeNormal1.png	第1区域	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab001.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab001.png
30080102	Assets/Product/Texture/Image/IconType/IconTypeHard2.png	第2区域	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab001.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab001.png
30080103	Assets/Product/Texture/Image/IconType/IconTypeFortress2.png	第3区域	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab001.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab001.png
30080201	Assets/Product/Texture/Image/IconType/IconTypeNormal1.png	第1区域	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab004.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab004.png
30080202	Assets/Product/Texture/Image/IconType/IconTypeHard2.png	第2区域	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab004.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab004.png
30080203	Assets/Product/Texture/Image/IconType/IconTypeFortress2.png	第3区域	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab004.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab004.png
30080301	Assets/Product/Texture/Image/IconType/IconTypeNormal1.png	第1区域	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab002.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab002.png
30080302	Assets/Product/Texture/Image/IconType/IconTypeHard2.png	第2区域	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab002.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab002.png
30080303	Assets/Product/Texture/Image/IconType/IconTypeFortress2.png	第3区域	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab002.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab002.png
30080401	Assets/Product/Texture/Image/IconType/IconTypeNormal1.png	第1区域	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab003.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab003.png
30080402	Assets/Product/Texture/Image/IconType/IconTypeHard2.png	第2区域	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab003.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab003.png
30080403	Assets/Product/Texture/Image/IconType/IconTypeFortress2.png	第3区域	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab003.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab003.png
30080501	Assets/Product/Texture/Image/IconType/IconTypeNormal1.png	第1区域	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab005.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab005.png
30080502	Assets/Product/Texture/Image/IconType/IconTypeHard2.png	第2区域	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab005.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab005.png
30080503	Assets/Product/Texture/Image/IconType/IconTypeFortress2.png	第3区域	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab005.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab005.png
