StageId	RewardId	ShowId	Tip	TipEn
10010101				
10010102				
10010103	300000	1031001		
10010104				
10010201	300001	2992001		
10010202			新 手 目 标	N o v I c e  T a r g e t
10010203	300002	3013001		
10010204			构 造 体 晋 升	P r o m o t I o n
10010301			签 到	C h e c k I n
10010302			日 常 任 务	D a I l y  T a s k
10010303	300003	3043001		
10010304			研 发 系 统 	R e s e a r c h S y s t e m
10020101			日 常 副 本	D a I l y R e s o u r c e s
10020102	300006	3024004		
10020103			商 店 系 统	S h o p  S y s t e m
10020104			教 学 本	T e a c h I n g M o d e l
10020201	300007	3054004		
10020202				
10020203	300008	3014004		
10020204				
10020301	300009	3044004		
10020302				
10020303	300011	2994001		
10020304			隐 藏 剧 情	H I d d e n
10030101			角 色 详 情	C h a r a c t e r
10030102	300012	40103		
10030103			收 藏	C o l l e c t I o n 
10030104	300013	40104		
10030201				
10030202	300014	40104		
10030203			支 援 系 统	S u p p o r t   S y s t e m
10030204			前 传 副 本	B r a n c h  S t o r y
10030301	300015	30013		
10030302			角 色 时 装	F a s h I o n
10030303	300016	40104		
10030304				
10040101	300017	3924001		
10040102			宿 舍	D o r m I t o r y
10040103	300018	2994001		
10040104				
10040201	300019	3954001		
10040202				
10040203	300020	40100		
10040204			战 区	B a t t l e Z o n e
10040301	300021	3934001		
10040302				
10040303	300022	40100		
10040304				
10050101	300023	3964001		
10050102				
10050103	300024	40103		
10050104				
10050201	300025	30013		
10050202				
10050203	300026	2994001		
10050204			幻 痛 囚 笼	P r I s o n? O f? P a in
10050301	300027	3954001		
10050302				
10050303	300028	3964001		
10050304				
10060101	300029	40110		
10060102				
10060103	300030	30014		
10060104				
10060201	300031	40110		
10060202				
10060203	300032	2994001		
10060204				
10060301	300033	40113		
10060302				
10060303	300034	40114		
10060304				
10070101	300035	40113		
10070102				
10070103	300036	30014		
10070104				
10070201	300037	40114		
10070202				
10070203	300038	3924001		
10070204				
10070301	300039	3934001		
10070302				
10070303	300040	40110		
10070304				
10080101	300041	40113		
10080102				
10080103	300042	40114		
10080104				
10080201	300043	2994001		
10080202				
10080203	300044	40110		
10080204				
10080301	300045	3944001		
10080302				
10080303	300046	40113		
10080304				
