CharacterId	SkillId[1]	Pos[1]	SkillId[2]	Pos[2]	SkillId[3]	Pos[3]	SkillId[4]	Pos[4]	SkillId[5]	Pos[5]	SkillId[6]	Pos[6]	SkillId[7]	Pos[7]	SkillId[8]	Pos[8]	SkillId[9]	Pos[9]	SkillId[10]	Pos[10]	SkillId[11]	Pos[11]	SkillId[12]	Pos[12]	SkillId[13]	Pos[13]	SkillId[14]	Pos[14]	SkillId[15]	Pos[15]	SkillId[16]	Pos[16]
1011002	101201	1	101206	2	101211	3	101216	4	101217	4	101218	4	101221	5	101222	5	101223	4	101224	5	101225	5	101226	5	101227	4						
1021001	102101	1	102106	2	102111	3	102116	4	102117	4	102118	4	102121	5	102122	5	102123	4	102124	5	102125	5	102126	5	102127	4						
1031001	103101	1	103106	2	103111	3	103116	4	103117	4	103118	4	103121	5	103122	5	103123	4	103124	5	103125	5	103126	5	103127	4						
1041002	104201	1	104206	2	104211	3	104216	4	104217	4	104218	4	104221	5	104222	5	104223	4	104224	5	104225	5	104226	5	104227	4						
1051001	105101	1	105106	2	105111	3	105116	4	105117	4	105118	4	105121	5	105122	5	105123	4	105124	5	105125	5	105126	5	105127	4						
1061002	106201	1	106206	2	106211	3	106216	4	106217	4	106218	4	106221	5	106222	5	106223	4	106224	5	106225	5	106226	5	106227	4						
1071002	107201	1	107206	2	107211	3	107216	4	107217	4	107218	4	107221	5	107222	5	107223	4	107224	5	107225	5	107226	5	107227	4						
1081002	108201	1	108206	2	108211	3	108216	4	108217	4	108218	4	108221	5	108222	5	108223	4	108224	5	108225	5	108226	5	108227	4						
1021002	102201	1	102206	2	102211	3	102216	4	102217	4	102218	4	102221	5	102222	5	102223	4	102224	5	102225	5	102226	5	102227	4						
1031002	103201	1	103206	2	103211	3	103216	4	103217	4	103218	4	103221	5	103222	5	103223	4	103224	5	103225	5	103226	5	103227	4						
1061003	106301	1	106306	2	106311	3	106316	4	106317	4	106318	4	106321	5	106322	5	106323	4	106324	5	106325	5	106326	5	106327	4						
1031003	103301	1	103306	2	103311	3	103316	4	103317	4	103318	4	103321	5	103322	5	103323	4	103324	5	103325	5	103326	5	103327	4						
1011003	101301	1	101306	2	101311	3	101316	4	101317	4	101318	4	101321	5	101322	5	101323	4	101324	5	101325	5	101326	5	101327	4						
1071003	107301	1	107306	2	107311	3	107316	4	107317	4	107318	4	107321	5	107322	5	107323	4	107324	5	107325	5	107326	5	107327	4						
1051003	105301	1	105306	2	105311	3	105316	4	105317	4	105318	4	105321	5	105322	5	105323	4	105324	5	105325	5	105326	5	105327	4						
