Id	SkillId	Level	Name	Intro	Icon	ConditionId[1]	ConditionId[2]	ConditionId[3]	UseSkillPoint	UseCoin
1	101201	1	精准连射	使用双枪根据消球数量朝目标快速射击15发子弹，每发子弹造成<color=#FF6347>8%</color>/<color=#FF6347>16%</color>/<color=#FF6347>24%</color>的物理伤害。	Assets/Product/Texture/Image/IconSkill/R2lihong1.png	60001			1	2000
2	101201	2	精准连射	使用双枪根据消球数量朝目标快速射击15发子弹，每发子弹造成<color=#FF6347>8.47%</color>/<color=#FF6347>16.94%</color>/<color=#FF6347>25.41%</color>的物理伤害。	Assets/Product/Texture/Image/IconSkill/R2lihong1.png	60002			1	3000
3	101201	3	精准连射	使用双枪根据消球数量朝目标快速射击15发子弹，每发子弹造成<color=#FF6347>8.94%</color>/<color=#FF6347>17.88%</color>/<color=#FF6347>26.82%</color>的物理伤害。	Assets/Product/Texture/Image/IconSkill/R2lihong1.png	60003			1	4000
4	101201	4	精准连射	使用双枪根据消球数量朝目标快速射击15发子弹，每发子弹造成<color=#FF6347>9.41%</color>/<color=#FF6347>18.82%</color>/<color=#FF6347>28.24%</color>的物理伤害。	Assets/Product/Texture/Image/IconSkill/R2lihong1.png	60004			1	5000
5	101201	5	精准连射	使用双枪根据消球数量朝目标快速射击15发子弹，每发子弹造成<color=#FF6347>9.88%</color>/<color=#FF6347>19.76%</color>/<color=#FF6347>29.65%</color>的物理伤害。	Assets/Product/Texture/Image/IconSkill/R2lihong1.png	60005			2	6000
6	101201	6	精准连射	使用双枪根据消球数量朝目标快速射击15发子弹，每发子弹造成<color=#FF6347>10.35%</color>/<color=#FF6347>20.71%</color>/<color=#FF6347>31.06%</color>的物理伤害。	Assets/Product/Texture/Image/IconSkill/R2lihong1.png	60006			2	7000
7	101201	7	精准连射	使用双枪根据消球数量朝目标快速射击15发子弹，每发子弹造成<color=#FF6347>10.82%</color>/<color=#FF6347>21.65%</color>/<color=#FF6347>32.47%</color>的物理伤害。	Assets/Product/Texture/Image/IconSkill/R2lihong1.png	60007			2	8000
8	101201	8	精准连射	使用双枪根据消球数量朝目标快速射击15发子弹，每发子弹造成<color=#FF6347>11.29%</color>/<color=#FF6347>22.59%</color>/<color=#FF6347>33.88%</color>的物理伤害。	Assets/Product/Texture/Image/IconSkill/R2lihong1.png	60008			2	9000
9	101201	9	精准连射	使用双枪根据消球数量朝目标快速射击15发子弹，每发子弹造成<color=#FF6347>11.76%</color>/<color=#FF6347>23.53%</color>/<color=#FF6347>35.29%</color>的物理伤害。	Assets/Product/Texture/Image/IconSkill/R2lihong1.png	60009			2	10000
10	101201	10	精准连射	使用双枪根据消球数量朝目标快速射击15发子弹，每发子弹造成<color=#FF6347>12.24%</color>/<color=#FF6347>24.47%</color>/<color=#FF6347>36.71%</color>的物理伤害。	Assets/Product/Texture/Image/IconSkill/R2lihong1.png	60010			3	12000
11	101201	11	精准连射	使用双枪根据消球数量朝目标快速射击15发子弹，每发子弹造成<color=#FF6347>12.71%</color>/<color=#FF6347>25.41%</color>/<color=#FF6347>38.12%</color>的物理伤害。	Assets/Product/Texture/Image/IconSkill/R2lihong1.png	60011			3	14000
12	101201	12	精准连射	使用双枪根据消球数量朝目标快速射击15发子弹，每发子弹造成<color=#FF6347>13.18%</color>/<color=#FF6347>26.35%</color>/<color=#FF6347>39.53%</color>的物理伤害。	Assets/Product/Texture/Image/IconSkill/R2lihong1.png	60012			3	16000
13	101201	13	精准连射	使用双枪根据消球数量朝目标快速射击15发子弹，每发子弹造成<color=#FF6347>13.65%</color>/<color=#FF6347>27.29%</color>/<color=#FF6347>40.94%</color>的物理伤害。	Assets/Product/Texture/Image/IconSkill/R2lihong1.png	60013			3	18000
14	101201	14	精准连射	使用双枪根据消球数量朝目标快速射击15发子弹，每发子弹造成<color=#FF6347>14.12%</color>/<color=#FF6347>28.24%</color>/<color=#FF6347>42.35%</color>的物理伤害。	Assets/Product/Texture/Image/IconSkill/R2lihong1.png	60014			3	20000
15	101201	15	精准连射	使用双枪根据消球数量朝目标快速射击15发子弹，每发子弹造成<color=#FF6347>14.59%</color>/<color=#FF6347>29.18%</color>/<color=#FF6347>43.76%</color>的物理伤害。	Assets/Product/Texture/Image/IconSkill/R2lihong1.png	60015			5	22000
